id,organization_id,aid_type,language,description,status,created_at,updated_at
2981,844,other,None,"Shelter is a pressing concern in our community. Many individuals are experiencing housing instability and inadequate living conditions. Donations of tents, sleeping bags, and other shelter materials can provide a safe and secure environment for those in need. Your support will help ensure that everyone has a roof over their head and a place to call home.",pending,2023-10-15 20:34:33 UTC,2023-10-15 20:34:33 UTC
2975,674,other,None,"Shelter is a pressing concern in our community. Many individuals are experiencing housing instability and inadequate living conditions. Donations of tents, sleeping bags, and other shelter materials can provide a safe and secure environment for those in need. Your support will help ensure that everyone has a roof over their head and a place to call home.",fulfilled,2023-10-15 20:34:33 UTC,2023-10-15 20:34:33 UTC
2965,621,other,None,"Shelter is a pressing concern in our community. Many individuals are experiencing housing instability and inadequate living conditions. Donations of tents, sleeping bags, and other shelter materials can provide a safe and secure environment for those in need. Your support will help ensure that everyone has a roof over their head and a place to call home.",fulfilled,2023-10-15 20:34:33 UTC,2023-10-15 20:34:33 UTC
2963,445,other,None,"Shelter is a pressing concern in our community. Many individuals are experiencing housing instability and inadequate living conditions. Donations of tents, sleeping bags, and other shelter materials can provide a safe and secure environment for those in need. Your support will help ensure that everyone has a roof over their head and a place to call home.",fulfilled,2023-10-15 20:34:33 UTC,2023-10-15 20:34:33 UTC
2960,210,other,None,"Shelter is a pressing concern in our community. Many individuals are experiencing housing instability and inadequate living conditions. Donations of tents, sleeping bags, and other shelter materials can provide a safe and secure environment for those in need. Your support will help ensure that everyone has a roof over their head and a place to call home.",active,2023-10-15 20:34:33 UTC,2023-10-15 20:34:33 UTC
2959,271,other,None,"Shelter is a pressing concern in our community. Many individuals are experiencing housing instability and inadequate living conditions. Donations of tents, sleeping bags, and other shelter materials can provide a safe and secure environment for those in need. Your support will help ensure that everyone has a roof over their head and a place to call home.",fulfilled,2023-10-15 20:34:33 UTC,2023-10-15 20:34:33 UTC
2958,913,other,None,"Shelter is a pressing concern in our community. Many individuals are experiencing housing instability and inadequate living conditions. Donations of tents, sleeping bags, and other shelter materials can provide a safe and secure environment for those in need. Your support will help ensure that everyone has a roof over their head and a place to call home.",fulfilled,2023-10-15 20:34:33 UTC,2023-10-15 20:34:33 UTC
2946,902,other,None,"Shelter is a pressing concern in our community. Many individuals are experiencing housing instability and inadequate living conditions. Donations of tents, sleeping bags, and other shelter materials can provide a safe and secure environment for those in need. Your support will help ensure that everyone has a roof over their head and a place to call home.",fulfilled,2023-10-15 20:34:33 UTC,2023-10-15 20:34:33 UTC
2940,410,other,None,"Shelter is a pressing concern in our community. Many individuals are experiencing housing instability and inadequate living conditions. Donations of tents, sleeping bags, and other shelter materials can provide a safe and secure environment for those in need. Your support will help ensure that everyone has a roof over their head and a place to call home.",pending,2023-10-15 20:34:33 UTC,2023-10-15 20:34:33 UTC
2939,485,other,None,"Shelter is a pressing concern in our community. Many individuals are experiencing housing instability and inadequate living conditions. Donations of tents, sleeping bags, and other shelter materials can provide a safe and secure environment for those in need. Your support will help ensure that everyone has a roof over their head and a place to call home.",active,2023-10-15 20:34:33 UTC,2023-10-15 20:34:33 UTC
2934,658,other,None,"Shelter is a pressing concern in our community. Many individuals are experiencing housing instability and inadequate living conditions. Donations of tents, sleeping bags, and other shelter materials can provide a safe and secure environment for those in need. Your support will help ensure that everyone has a roof over their head and a place to call home.",active,2023-10-15 20:34:33 UTC,2023-10-15 20:34:33 UTC
2933,890,other,None,"Shelter is a pressing concern in our community. Many individuals are experiencing housing instability and inadequate living conditions. Donations of tents, sleeping bags, and other shelter materials can provide a safe and secure environment for those in need. Your support will help ensure that everyone has a roof over their head and a place to call home.",fulfilled,2023-10-15 20:34:33 UTC,2023-10-15 20:34:33 UTC
2930,344,other,None,"Shelter is a pressing concern in our community. Many individuals are experiencing housing instability and inadequate living conditions. Donations of tents, sleeping bags, and other shelter materials can provide a safe and secure environment for those in need. Your support will help ensure that everyone has a roof over their head and a place to call home.",pending,2023-10-15 20:34:33 UTC,2023-10-15 20:34:33 UTC
2928,445,other,None,"Shelter is a pressing concern in our community. Many individuals are experiencing housing instability and inadequate living conditions. Donations of tents, sleeping bags, and other shelter materials can provide a safe and secure environment for those in need. Your support will help ensure that everyone has a roof over their head and a place to call home.",pending,2023-10-15 20:34:33 UTC,2023-10-15 20:34:33 UTC
2924,983,other,None,"Shelter is a pressing concern in our community. Many individuals are experiencing housing instability and inadequate living conditions. Donations of tents, sleeping bags, and other shelter materials can provide a safe and secure environment for those in need. Your support will help ensure that everyone has a roof over their head and a place to call home.",pending,2023-10-15 20:34:33 UTC,2023-10-15 20:34:33 UTC
2910,248,other,None,"Shelter is a pressing concern in our community. Many individuals are experiencing housing instability and inadequate living conditions. Donations of tents, sleeping bags, and other shelter materials can provide a safe and secure environment for those in need. Your support will help ensure that everyone has a roof over their head and a place to call home.",pending,2023-10-15 20:34:33 UTC,2023-10-15 20:34:33 UTC
2909,934,other,None,"Shelter is a pressing concern in our community. Many individuals are experiencing housing instability and inadequate living conditions. Donations of tents, sleeping bags, and other shelter materials can provide a safe and secure environment for those in need. Your support will help ensure that everyone has a roof over their head and a place to call home.",active,2023-10-15 20:34:33 UTC,2023-10-15 20:34:33 UTC
2903,564,other,None,"Shelter is a pressing concern in our community. Many individuals are experiencing housing instability and inadequate living conditions. Donations of tents, sleeping bags, and other shelter materials can provide a safe and secure environment for those in need. Your support will help ensure that everyone has a roof over their head and a place to call home.",pending,2023-10-15 20:34:33 UTC,2023-10-15 20:34:33 UTC
2899,443,other,None,"Shelter is a pressing concern in our community. Many individuals are experiencing housing instability and inadequate living conditions. Donations of tents, sleeping bags, and other shelter materials can provide a safe and secure environment for those in need. Your support will help ensure that everyone has a roof over their head and a place to call home.",active,2023-10-15 20:34:33 UTC,2023-10-15 20:34:33 UTC
2898,306,other,None,"Shelter is a pressing concern in our community. Many individuals are experiencing housing instability and inadequate living conditions. Donations of tents, sleeping bags, and other shelter materials can provide a safe and secure environment for those in need. Your support will help ensure that everyone has a roof over their head and a place to call home.",fulfilled,2023-10-15 20:34:33 UTC,2023-10-15 20:34:33 UTC
2896,804,other,None,"Shelter is a pressing concern in our community. Many individuals are experiencing housing instability and inadequate living conditions. Donations of tents, sleeping bags, and other shelter materials can provide a safe and secure environment for those in need. Your support will help ensure that everyone has a roof over their head and a place to call home.",fulfilled,2023-10-15 20:34:33 UTC,2023-10-15 20:34:33 UTC
2882,79,other,None,"Shelter is a pressing concern in our community. Many individuals are experiencing housing instability and inadequate living conditions. Donations of tents, sleeping bags, and other shelter materials can provide a safe and secure environment for those in need. Your support will help ensure that everyone has a roof over their head and a place to call home.",fulfilled,2023-10-15 20:34:33 UTC,2023-10-15 20:34:33 UTC
2879,830,other,None,"Shelter is a pressing concern in our community. Many individuals are experiencing housing instability and inadequate living conditions. Donations of tents, sleeping bags, and other shelter materials can provide a safe and secure environment for those in need. Your support will help ensure that everyone has a roof over their head and a place to call home.",active,2023-10-15 20:34:33 UTC,2023-10-15 20:34:33 UTC
2871,107,other,None,"Shelter is a pressing concern in our community. Many individuals are experiencing housing instability and inadequate living conditions. Donations of tents, sleeping bags, and other shelter materials can provide a safe and secure environment for those in need. Your support will help ensure that everyone has a roof over their head and a place to call home.",pending,2023-10-15 20:34:33 UTC,2023-10-15 20:34:33 UTC
2868,745,other,None,"Shelter is a pressing concern in our community. Many individuals are experiencing housing instability and inadequate living conditions. Donations of tents, sleeping bags, and other shelter materials can provide a safe and secure environment for those in need. Your support will help ensure that everyone has a roof over their head and a place to call home.",pending,2023-10-15 20:34:33 UTC,2023-10-15 20:34:33 UTC
2867,498,other,None,"Shelter is a pressing concern in our community. Many individuals are experiencing housing instability and inadequate living conditions. Donations of tents, sleeping bags, and other shelter materials can provide a safe and secure environment for those in need. Your support will help ensure that everyone has a roof over their head and a place to call home.",active,2023-10-15 20:34:33 UTC,2023-10-15 20:34:33 UTC
2865,678,other,None,"Shelter is a pressing concern in our community. Many individuals are experiencing housing instability and inadequate living conditions. Donations of tents, sleeping bags, and other shelter materials can provide a safe and secure environment for those in need. Your support will help ensure that everyone has a roof over their head and a place to call home.",pending,2023-10-15 20:34:33 UTC,2023-10-15 20:34:33 UTC
2862,975,other,None,"Shelter is a pressing concern in our community. Many individuals are experiencing housing instability and inadequate living conditions. Donations of tents, sleeping bags, and other shelter materials can provide a safe and secure environment for those in need. Your support will help ensure that everyone has a roof over their head and a place to call home.",fulfilled,2023-10-15 20:34:33 UTC,2023-10-15 20:34:33 UTC
2855,875,other,None,"Shelter is a pressing concern in our community. Many individuals are experiencing housing instability and inadequate living conditions. Donations of tents, sleeping bags, and other shelter materials can provide a safe and secure environment for those in need. Your support will help ensure that everyone has a roof over their head and a place to call home.",active,2023-10-15 20:34:33 UTC,2023-10-15 20:34:33 UTC
2853,860,other,None,"Shelter is a pressing concern in our community. Many individuals are experiencing housing instability and inadequate living conditions. Donations of tents, sleeping bags, and other shelter materials can provide a safe and secure environment for those in need. Your support will help ensure that everyone has a roof over their head and a place to call home.",active,2023-10-15 20:34:33 UTC,2023-10-15 20:34:33 UTC
2851,119,other,None,"Shelter is a pressing concern in our community. Many individuals are experiencing housing instability and inadequate living conditions. Donations of tents, sleeping bags, and other shelter materials can provide a safe and secure environment for those in need. Your support will help ensure that everyone has a roof over their head and a place to call home.",pending,2023-10-15 20:34:33 UTC,2023-10-15 20:34:33 UTC
2850,960,other,None,"Shelter is a pressing concern in our community. Many individuals are experiencing housing instability and inadequate living conditions. Donations of tents, sleeping bags, and other shelter materials can provide a safe and secure environment for those in need. Your support will help ensure that everyone has a roof over their head and a place to call home.",active,2023-10-15 20:34:33 UTC,2023-10-15 20:34:33 UTC
2846,405,other,None,"Shelter is a pressing concern in our community. Many individuals are experiencing housing instability and inadequate living conditions. Donations of tents, sleeping bags, and other shelter materials can provide a safe and secure environment for those in need. Your support will help ensure that everyone has a roof over their head and a place to call home.",pending,2023-10-15 20:34:33 UTC,2023-10-15 20:34:33 UTC
2838,795,other,None,"Shelter is a pressing concern in our community. Many individuals are experiencing housing instability and inadequate living conditions. Donations of tents, sleeping bags, and other shelter materials can provide a safe and secure environment for those in need. Your support will help ensure that everyone has a roof over their head and a place to call home.",fulfilled,2023-10-15 20:34:33 UTC,2023-10-15 20:34:33 UTC
