id,organization_id,aid_type,language,description,status,created_at,updated_at
1,576,food,Kazakh,Qui quia repudiandae consequatur.,fulfilled,2023-10-15 20:34:31 UTC,2023-10-15 20:34:31 UTC
2,34,food,English,Fuga modi ad voluptatem.,active,2023-10-15 20:34:31 UTC,2023-10-15 20:34:31 UTC
3,251,food,Telugu,Atque voluptatibus voluptatum sequi.,fulfilled,2023-10-15 20:34:31 UTC,2023-10-15 20:34:31 UTC
4,430,food,Zulu,Omnis qui nam reiciendis.,active,2023-10-15 20:34:31 UTC,2023-10-15 20:34:31 UTC
5,241,language,Portuguese,Officia ut corporis ullam.,fulfilled,2023-10-15 20:34:31 UTC,2023-10-15 20:34:31 UTC
6,211,language,Telugu,Facilis dignissimos atque dolor.,active,2023-10-15 20:34:31 UTC,2023-10-15 20:34:31 UTC
7,757,other,Zulu,Veritatis ipsa mollitia pariatur.,fulfilled,2023-10-15 20:34:31 UTC,2023-10-15 20:34:31 UTC
8,935,food,Italian,Voluptatum consequatur omnis voluptatem.,active,2023-10-15 20:34:31 UTC,2023-10-15 20:34:31 UTC
9,401,other,Italian,Ut ipsam corrupti placeat.,fulfilled,2023-10-15 20:34:31 UTC,2023-10-15 20:34:31 UTC
10,681,legal,German,Hic nihil omnis delectus.,fulfilled,2023-10-15 20:34:31 UTC,2023-10-15 20:34:31 UTC
11,448,language,Japanese,Sunt esse illum sit.,fulfilled,2023-10-15 20:34:31 UTC,2023-10-15 20:34:31 UTC
12,126,legal,Telugu,Totam voluptas non possimus.,fulfilled,2023-10-15 20:34:31 UTC,2023-10-15 20:34:31 UTC
13,885,language,Javanese,Consequatur magnam non deserunt.,active,2023-10-15 20:34:31 UTC,2023-10-15 20:34:31 UTC
14,28,food,Marathi,Sit debitis quis voluptatibus.,pending,2023-10-15 20:34:31 UTC,2023-10-15 20:34:31 UTC
15,928,other,Hindi,Culpa iste sunt itaque.,fulfilled,2023-10-15 20:34:31 UTC,2023-10-15 20:34:31 UTC
16,157,legal,Hindi,Repellat impedit maiores modi.,fulfilled,2023-10-15 20:34:31 UTC,2023-10-15 20:34:31 UTC
17,13,medical,Swedish,Ullam repellendus suscipit nihil.,active,2023-10-15 20:34:31 UTC,2023-10-15 20:34:31 UTC
18,486,legal,Romanian,Rerum quo similique nesciunt.,pending,2023-10-15 20:34:31 UTC,2023-10-15 20:34:31 UTC
19,612,food,Romanian,Animi fuga voluptate porro.,active,2023-10-15 20:34:31 UTC,2023-10-15 20:34:31 UTC
20,858,medical,Nepali,Autem voluptas omnis laboriosam.,fulfilled,2023-10-15 20:34:31 UTC,2023-10-15 20:34:31 UTC
21,406,medical,Hakka,Assumenda dolores voluptas repudiandae.,active,2023-10-15 20:34:31 UTC,2023-10-15 20:34:31 UTC
22,461,legal,Thai,Commodi iusto illo eum.,pending,2023-10-15 20:34:31 UTC,2023-10-15 20:34:31 UTC
23,857,medical,French,Ipsa et dolores qui.,active,2023-10-15 20:34:31 UTC,2023-10-15 20:34:31 UTC
24,205,language,Javanese,Cumque aut ut aliquid.,fulfilled,2023-10-15 20:34:31 UTC,2023-10-15 20:34:31 UTC
25,268,language,Hakka,Ut placeat iste est.,active,2023-10-15 20:34:31 UTC,2023-10-15 20:34:31 UTC
26,258,legal,Marathi,Repellat hic beatae quo.,active,2023-10-15 20:34:31 UTC,2023-10-15 20:34:31 UTC
